School_Name,School_Year,Reported,Reported_enrollment,Percent_complete_for_all_immunizations,Percent_conditional,Percent_out_of_compliance,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_complete_for_diphtheria_tetanus,Percent_complete_for_pertussis,Percent_complete_for_measles_mumps_rubella,Percent_complete_for_polio,Percent_complete_for_HepatitisB,Percent_complete_for_varicella,Number_complete_for_all_immunizations,Number_conditional,Number_out_of_compliance,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,Number_incomplete_for_diphtheria_tetanus,Number_incomplete_for_pertussis,Number_incomplete_for_measles_mumps_rubella,Number_incomplete_for_polio,Number_incomplete_for_HepatitisB,Number_incomplete_for_varicella,School_Type,School_District,County,ESD,Grade_Levels,Has_kindergarten,Has_6thGrade,Location 1
BREWSTER JUNIOR HIGH SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,BREWSTER SCHOOL DISTRICT,OKANOGAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,7-8,0,0,"P.O. BOX 97
BREWSTER
"
BRYANT CENTER,2016-17,Y,91,76.9%,1.1%,4.4%,17.6%,9.9%,8.8%,1.1%,0%,85.7%,85.7%,84.6%,83.5%,87.9%,81.3%,70,1,4,16,9,8,1,0,13,13,14,15,11,17,PUBLIC SCHOOL,SPOKANE SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,PK-12,1,1,"N 910 ASH ST
SPOKANE
"
CALVARY CHAPEL CHRISTIAN SCHOOL,2016-17,Y,6,50%,0%,0%,50%,33.3%,0%,16.7%,0%,50%,50%,50%,50%,50%,50%,3,0,0,3,2,0,1,0,3,3,3,3,3,3,PRIVATE SCHOOL,CENTRAL VALLEY SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,P-8,1,1,"16409 E BROADWAY AVE
SPOKANE
"
CAPITAL MONTESSORI SCHOOL,2016-17,Y,1,100%,0%,0%,0%,0%,0%,0%,0%,100%,100%,100%,100%,100%,100%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,PRIVATE SCHOOL,NORTH THURSTON PUBLIC SCHOOLS,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,PK-1,1,0,"730LILLY RD SE
OLYMPIA
"
CAPTAIN STRONG,2016-17,Y,140,86.4%,2.1%,2.9%,8.6%,0.7%,7.9%,0%,0%,88.6%,88.6%,90.7%,87.9%,92.1%,90.7%,121,3,4,12,1,11,0,0,16,16,13,17,11,13,PUBLIC SCHOOL,BATTLE GROUND SCHOOL DISTRICT,CLARK,EDUCATIONAL SERVICE DISTRICT 112,K -4,1,0,"PO BOX 200
BATTLE GROUND
"
CARNATION ELEMENTARY SCHOOL,2016-17,Y,46,69.6%,0%,13%,17.4%,2.2%,15.2%,0%,0%,82.6%,80.4%,84.8%,80.4%,73.9%,80.4%,32,0,6,8,1,7,0,0,8,9,7,9,12,9,PUBLIC SCHOOL,RIVERVIEW SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,1,0,"4950 TOLT AVE
CARNATION
"
CARROLLS ELEMENTARY,2016-17,Y,22,90.9%,4.5%,0%,4.5%,0%,4.5%,0%,0%,100%,100%,95.5%,95.5%,90.9%,90.9%,20,1,0,1,0,1,0,0,0,0,1,1,2,2,PUBLIC SCHOOL,KELSO SCHOOL DISTRICT,COWLITZ,EDUCATIONAL SERVICE DISTRICT 112,K -5,1,0,"PO BOX 3
CARROLLS
"
CARSON ELEMENTARY,2016-17,Y,100,92%,0%,2%,6%,2%,4%,1%,0%,97%,99%,94%,95%,96%,93%,92,0,2,6,2,4,1,0,3,1,6,5,4,7,PUBLIC SCHOOL,PUYALLUP SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-6,1,1,"8615 182ND ST E
PUYALLUP
"
CARSON ELEMENTARY,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,STEVENSON-CARSON SCHOOL DISTRICT,SKAMANIA,EDUCATIONAL SERVICE DISTRICT 112,3-6,0,1,"350 NW ROOSEVELT ST.
STEVENSON
"
CAVELERO MID HIGH SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,LAKE STEVENS SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,8-9,0,0,"8220 24TH ST SE
EVERETT
"
CEDAR CREST ACADEMY - BELLEWOOD,2016-17,Y,65,98.5%,0%,0%,1.5%,0%,1.5%,0%,0%,98.5%,98.5%,98.5%,98.5%,98.5%,98.5%,64,0,0,1,0,1,0,0,1,1,1,1,1,1,PRIVATE SCHOOL,BELLEVUE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-2,1,0,"2125 122TH AVE NE
BELLEVUE
"
CENTER ELEMENTARY SCHOOL,2016-17,Y,52,76.9%,0%,19.2%,3.8%,0%,3.8%,0%,0%,78.8%,78.8%,82.7%,76.9%,88.5%,80.8%,40,0,10,2,0,2,0,0,11,11,9,12,6,10,PUBLIC SCHOOL,GRAND COULEE DAM SCHOOL DISTRICT,GRANT,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,PK-4,1,0,"PO BOX F
GRAND COULEE
"
CENTRAL ELEMENTARY,2016-17,Y,52,88.5%,5.8%,0%,5.8%,0%,5.8%,0%,0%,96.2%,96.2%,96.2%,96.2%,92.3%,90.4%,46,3,0,3,0,3,0,0,2,2,2,2,4,5,PUBLIC SCHOOL,FERNDALE SCHOOL DISTRICT,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -6,1,1,"P.O. BOX 187
FERNDALE
"
CHAMBERS ELEMENTARY,2016-17,Y,93,93.5%,1.1%,4.3%,1.1%,0%,1.1%,0%,0%,97.8%,97.8%,96.8%,96.8%,97.8%,95.7%,87,1,4,1,0,1,0,0,2,2,3,3,2,4,PUBLIC SCHOOL,UNIVERSITY PLACE SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -4,1,0,"9101 56TH AVE W
UNIVERSITY PLACE
"
CHAUNCEY DAVIS ELEMENTARY,2016-17,Y,40,90%,0%,7.5%,2.5%,0%,2.5%,0%,0%,92.5%,92.5%,92.5%,90%,97.5%,95%,36,0,3,1,0,1,0,0,3,3,3,4,1,2,PUBLIC SCHOOL,SOUTH BEND SCHOOL DISTRICT,PACIFIC,EDUCATIONAL SERVICE DISTRICT 113,K -6,1,1,"PO BOX 437
SOUTH BEND
"
CHELAN HIGH SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,LAKE CHELAN SCHOOL DISTRICT,CHELAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,9-12,0,0,"PO BOX 369
CHELAN
"
CHELAN MIDDLE SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,LAKE CHELAN SCHOOL DISTRICT,CHELAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,6-8,0,1,"PO BOX 369
CHELAN
"
CHEWELAH ALTERNATIVE,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,CHEWELAH SCHOOL DISTRICT,STEVENS,EDUCATIONAL SERVICE DISTRICT 101,8-12,0,0,"PO BOX 47
CHEWELAH
"
CHIAWANA HIGH SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,PASCO SCHOOL DISTRICT,FRANKLIN,EDUCATIONAL SERVICE DISTRICT 123,9-12,0,0,"CHIAWANA HIGH SCHOOL
PASCO
"
CHIEF KANIM MIDDLE SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,SNOQUALMIE VALLEY SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-8,0,1,"BOX 639
FALL CITY
"
CHIEF UMTUCH MIDDLE,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,BATTLE GROUND SCHOOL DISTRICT,CLARK,EDUCATIONAL SERVICE DISTRICT 112,5-8,0,1,"PO BOX 200
BATTLE GROUND
"
CHIMACUM ELEMENTARY SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,CHIMACUM SCHOOL DISTRICT,JEFFERSON,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,3-5,0,0,"PO BOX 278
CHIMACUM
"
CHIMACUM HIGH SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,CHIMACUM SCHOOL DISTRICT,JEFFERSON,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,9-12,0,0,"PO BOX 278
CHIMACUM
"
CHIMACUM MIDDLE SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,CHIMACUM SCHOOL DISTRICT,JEFFERSON,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,6-8,0,1,"PO BOX 278
CHIMACUM
"
CLEAR LAKE ELEMENTARY SCHOOL,2016-17,Y,55,76.4%,3.6%,0%,20%,1.8%,20%,0%,0%,85.5%,85.5%,83.6%,83.6%,81.8%,78.2%,42,2,0,11,1,11,0,0,8,8,9,9,10,12,PUBLIC SCHOOL,SEDRO-WOOLLEY SCHOOL DISTRICT,SKAGIT,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -6,1,1,"PO BOX 128
CLEAR LAKE
"
COLUMBIA HIGH AND ELEMENTARY,2016-17,Y,10,90%,10%,0%,0%,0%,0%,0%,0%,90%,90%,90%,90%,90%,90%,9,1,0,0,0,0,0,0,1,1,1,1,1,1,PUBLIC SCHOOL,COLUMBIA (STEVENS) SCHOOL DISTRICT,STEVENS,EDUCATIONAL SERVICE DISTRICT 101,PK-12,1,1,"PO BOX 7
HUNTERS
"
COLUMBIA HIGH SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,WHITE SALMON VALLEY SCHOOL DISTRICT,KLICKITAT,EDUCATIONAL SERVICE DISTRICT 112,9-12,0,0,"PO BOX 1339
WHITE SALMON
"
COLUMBIA RIDGE ELEMENTARY,2016-17,Y,95,84.2%,5.3%,3.2%,7.4%,0%,4.2%,1.1%,2.1%,87.4%,87.4%,89.5%,88.4%,91.6%,88.4%,80,5,3,7,0,4,1,2,12,12,10,11,8,11,PUBLIC SCHOOL,EPHRATA SCHOOL DISTRICT,GRANT,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,K -4,1,0,"60 H SE
EPHRATA
"
CONNELL ELEM,2016-17,Y,91,84.6%,2.2%,11%,2.2%,0%,1.1%,1.1%,0%,87.9%,87.9%,85.7%,86.8%,93.4%,85.7%,77,2,10,2,0,1,1,0,11,11,13,12,6,13,PUBLIC SCHOOL,NORTH FRANKLIN SCHOOL DISTRICT,FRANKLIN,EDUCATIONAL SERVICE DISTRICT 123,K -6,1,1,"PO BOX 829
CONNELL
"
CONNELL HIGH SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,NORTH FRANKLIN SCHOOL DISTRICT,FRANKLIN,EDUCATIONAL SERVICE DISTRICT 123,9-12,0,0,"PO BOX 829
CONNELL
"
CONWAY SCHOOL,2016-17,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PUBLIC SCHOOL,CONWAY SCHOOL DISTRICT,SKAGIT,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -8,1,1,"19710 STATE ROUTE 564
MOUNT VERNON
"
COUGAR CREEK ELEMENTARY SCHOOL,2016-17,Y,61,83.6%,3.3%,8.2%,4.9%,3.3%,1.6%,0%,0%,90.2%,90.2%,90.2%,88.5%,96.7%,85.2%,51,2,5,3,2,1,0,0,6,6,6,7,2,9,PUBLIC SCHOOL,LAKEWOOD SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -5,1,0,"P.O. BOX 128
NORTH LAKEWOOD
"
COUGAR RIDGE ELEMENTARY,2016-17,Y,77,97.4%,0%,0%,2.6%,1.3%,2.6%,0%,0%,98.7%,98.7%,98.7%,100%,98.7%,97.4%,75,0,0,2,1,2,0,0,1,1,1,0,1,2,PUBLIC SCHOOL,ISSAQUAH SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,1,0,"4630 167TH AVE SE
ISSAQUAH
"
COWLITZ PRAIRIE ACADEMY (TOLEDO ALTERNATIVE OPTIONS),2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,TOLEDO SCHOOL DISTRICT,LEWIS,EDUCATIONAL SERVICE DISTRICT 113,7-12,0,0,"PO BOX 469
TOLEDO
"
CRESCENT SCHOOL,2016-17,Y,13,69.2%,0%,15.4%,15.4%,7.7%,0%,7.7%,0%,69.2%,69.2%,76.9%,69.2%,76.9%,76.9%,9,0,2,2,1,0,1,0,4,4,3,4,3,3,PUBLIC SCHOOL,CRESCENT SCHOOL DISTRICT,CLALLAM,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,K -12,1,1,"50350 HWY 112
JOYCE
"
CRESTON ELEMENTARY,2016-17,Y,7,85.7%,14.3%,0%,0%,0%,0%,0%,0%,85.7%,85.7%,85.7%,85.7%,100%,85.7%,6,1,0,0,0,0,0,0,1,1,1,1,0,1,PUBLIC SCHOOL,CRESTON SCHOOL DISTRICT,LINCOLN,EDUCATIONAL SERVICE DISTRICT 101,K -6,1,1,"PO BOX 17
CRESTON
"
CRESTON JR-SR HIGH SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,CRESTON SCHOOL DISTRICT,LINCOLN,EDUCATIONAL SERVICE DISTRICT 101,7-12,0,0,"PO BOX 17
CRESTON
"
COWLITZ SCHOOL AT THE CONFLUENCE,2016-17,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRIVATE SCHOOL,WHITE PASS SCHOOL DISTRICT,LEWIS,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,9-12,0,0,"408 A CRAIG RD
PACKWOOD
(46.605819, -121.690404)"
CURLEW ELEM & HIGH SCHOOL,2016-17,Y,19,73.7%,0%,0%,26.3%,0%,10.5%,15.8%,0%,73.7%,73.7%,73.7%,73.7%,73.7%,73.7%,14,0,0,5,0,2,3,0,5,5,5,5,5,5,PUBLIC SCHOOL,CURLEW SCHOOL DISTRICT,FERRY,EDUCATIONAL SERVICE DISTRICT 101,K -12,1,1,"PO BOX 370
CURLEW
"
DAFFODIL VALLEY ELEMENTARY,2016-17,Y,79,93.7%,1.3%,1.3%,3.8%,0%,3.8%,0%,0%,96.2%,96.2%,96.2%,97.5%,97.5%,94.9%,74,1,1,3,0,3,0,0,3,3,3,2,2,4,PUBLIC SCHOOL,SUMNER SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,1,0,"1509 VALLEY AVENUE
SUMNER
"
DALLESPORT ELEMENTARY,2016-17,Y,23,30.4%,0%,69.6%,0%,0%,0%,0%,0%,47.8%,47.8%,47.8%,47.8%,78.3%,43.5%,7,0,16,0,0,0,0,0,12,12,12,12,5,13,PUBLIC SCHOOL,LYLE SCHOOL DISTRICT,KLICKITAT,EDUCATIONAL SERVICE DISTRICT 112,K -6,1,1,"P.O. BOX 529
DALLESPORT
"
DARRINGTON ELEMENTARY SCHOOL,2016-17,Y,34,88.2%,2.9%,2.9%,5.9%,2.9%,2.9%,0%,0%,94.1%,94.1%,91.2%,94.1%,94.1%,91.2%,30,1,1,2,1,1,0,0,2,2,3,2,2,3,PUBLIC SCHOOL,DARRINGTON SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,PK-6,1,1,"PO BOX 27
DARRINGTON
"
DARRINGTON SR HIGH SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,DARRINGTON SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,9-12,0,0,"PO BOX 27
DARRINGTON
"
DAVENPORT ELEMENTARY,2016-17,Y,37,73%,2.7%,18.9%,5.4%,0%,5.4%,0%,0%,78.4%,78.4%,86.5%,75.7%,89.2%,83.8%,27,1,7,2,0,2,0,0,8,8,5,9,4,6,PUBLIC SCHOOL,DAVENPORT SCHOOL DISTRICT,LINCOLN,EDUCATIONAL SERVICE DISTRICT 101,PK-5,1,0,"1101 7TH STREET
DAVENPORT
"
DAVENPORT SENIOR HIGH SCHOOL,2016-17,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PUBLIC SCHOOL,DAVENPORT SCHOOL DISTRICT,LINCOLN,EDUCATIONAL SERVICE DISTRICT 101,6-12,0,1,"801 7TH STREET
DAVENPORT
"
DAYTON HIGH SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,DAYTON SCHOOL DISTRICT,COLUMBIA,EDUCATIONAL SERVICE DISTRICT 123,9-12,0,0,"614 S THIRD STREET
DAYTON
"
DAYTON MIDDLE SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,DAYTON SCHOOL DISTRICT,COLUMBIA,EDUCATIONAL SERVICE DISTRICT 123,7-8,0,0,"609 S SECOND STREET
DAYTON
"
DECATUR ELEMENTARY,2016-17,Y,1,100%,0%,0%,0%,0%,0%,0%,0%,100%,100%,100%,100%,100%,100%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,LOPEZ SCHOOL DISTRICT,SKAGIT,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -8,1,1,"DECATUR ISLAND
ANACORTES
"
DEER PARK ELEMENTARY,2016-17,Y,144,83.3%,2.1%,5.6%,9%,1.4%,7.6%,0%,0%,93.8%,93.8%,91.7%,93.1%,92.4%,88.2%,120,3,8,13,2,11,0,0,9,9,12,10,11,17,PUBLIC SCHOOL,DEER PARK SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,K -2,1,0,"E. 1500 &quot;D&quot; STREET
DEER PARK
"
CALVARY CHRISTIAN ACADEMY,2016-17,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRIVATE SCHOOL,EVERETT SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,P-3,1,0,"3332 COLBY AVE
EVERETT
(47.97288, -122.208394)"
